               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.059409,             0.01826,            0.042951,             0.45401,             0.59163,             0.39428,             0.18721,            0.054404,            0.018425,            0.044083,           0.0089172,           0.0089172,           0.0089172
                  37,            0.052182,            0.016582,             0.04072,             0.54949,             0.63639,             0.56251,             0.23945,            0.054511,            0.018963,               0.044,           0.0088863,           0.0088863,           0.0088863
                  38,            0.053235,            0.020115,            0.041106,             0.45523,               0.675,             0.49283,             0.26741,            0.054455,            0.018333,            0.043781,           0.0088553,           0.0088553,           0.0088553
                  39,            0.043481,            0.019001,            0.043418,             0.41494,             0.55062,             0.36194,             0.17726,             0.06301,             0.01931,            0.043689,           0.0088244,           0.0088244,           0.0088244
                  40,            0.063057,            0.018531,            0.041334,             0.38981,             0.65738,             0.41169,             0.19267,            0.060468,            0.018105,            0.043771,           0.0087934,           0.0087934,           0.0087934
                  41,             0.05904,             0.01866,            0.040255,             0.37325,                0.55,             0.40241,             0.18237,            0.056295,            0.017635,            0.043332,           0.0087625,           0.0087625,           0.0087625
                  42,            0.055755,            0.017549,             0.04063,             0.43253,               0.675,             0.43215,             0.22708,             0.05707,            0.018147,             0.04335,           0.0087316,           0.0087316,           0.0087316
                  43,            0.047973,             0.01869,            0.041119,               0.925,               0.275,             0.60307,             0.28032,            0.052109,            0.017365,            0.043048,           0.0087006,           0.0087006,           0.0087006
                  44,            0.050628,            0.020472,            0.041097,               0.443,             0.68108,             0.63606,             0.32345,            0.044934,            0.017422,             0.04292,           0.0086697,           0.0086697,           0.0086697
                  45,            0.046904,            0.017518,             0.04011,             0.40277,             0.63494,             0.42474,              0.2051,             0.05721,            0.018204,            0.042728,           0.0086388,           0.0086388,           0.0086388
                  46,            0.048724,            0.016068,             0.04048,             0.51025,             0.68542,             0.58904,             0.34771,            0.044833,            0.017437,            0.042664,           0.0086078,           0.0086078,           0.0086078
                  47,            0.038812,             0.01971,            0.040627,             0.50401,             0.53492,             0.55129,              0.3253,            0.053321,            0.019764,            0.042773,           0.0085769,           0.0085769,           0.0085769
                  48,            0.052437,            0.019197,            0.039295,             0.45828,                0.75,             0.60188,             0.25453,            0.046738,            0.017227,            0.042627,           0.0085459,           0.0085459,           0.0085459
                  49,            0.048371,            0.016139,            0.040753,             0.45542,                0.65,             0.55389,             0.29112,            0.052903,            0.017361,            0.042178,            0.008515,            0.008515,            0.008515
                  50,            0.045941,            0.017078,            0.040352,             0.47744,             0.64371,             0.63954,             0.31736,            0.041955,            0.016499,            0.042078,           0.0084841,           0.0084841,           0.0084841
                  51,            0.037324,            0.018184,            0.038908,             0.46951,             0.65047,             0.59904,             0.26446,            0.052139,            0.018093,             0.04184,           0.0084531,           0.0084531,           0.0084531
                  52,             0.05116,            0.017221,            0.040722,              0.4293,                 0.7,             0.53992,             0.29178,             0.04457,            0.016285,            0.041547,           0.0084222,           0.0084222,           0.0084222
                  53,            0.043687,            0.015277,            0.039172,             0.53075,             0.67992,              0.6034,             0.34147,            0.043965,             0.01635,            0.041327,           0.0083913,           0.0083913,           0.0083913
                  54,            0.042908,            0.015285,            0.041001,              0.6467,               0.575,              0.5108,             0.33219,            0.041682,            0.016151,            0.041135,           0.0083603,           0.0083603,           0.0083603
                  55,            0.038116,            0.015297,            0.040083,             0.44144,                 0.7,             0.51841,             0.29157,             0.05221,            0.016108,            0.041052,           0.0083294,           0.0083294,           0.0083294
                  56,            0.050389,            0.015698,            0.039857,             0.55252,                 0.7,             0.69894,             0.39354,            0.043661,            0.015614,            0.040942,           0.0082984,           0.0082984,           0.0082984
                  57,            0.045813,            0.014737,            0.038618,             0.53319,                 0.7,             0.74214,             0.39482,            0.043777,            0.015787,            0.040659,           0.0082675,           0.0082675,           0.0082675
                  58,             0.04538,            0.015426,            0.038154,              0.5164,               0.679,             0.77994,             0.35799,            0.046996,            0.016314,            0.040585,           0.0082366,           0.0082366,           0.0082366
                  59,            0.043083,            0.014473,            0.037383,             0.68314,               0.675,             0.75124,             0.45456,            0.049129,            0.015841,            0.040137,           0.0082056,           0.0082056,           0.0082056
                  60,            0.048748,             0.01445,            0.038199,             0.50258,               0.675,             0.67979,             0.37622,            0.038566,            0.015406,            0.039999,           0.0081747,           0.0081747,           0.0081747
                  61,             0.04113,            0.014523,            0.038356,             0.76459,               0.575,             0.70333,             0.37456,            0.044994,            0.015553,            0.039706,           0.0081437,           0.0081437,           0.0081437
                  62,              0.0405,            0.013508,            0.037022,             0.51039,             0.68327,             0.64078,             0.40479,            0.036075,            0.015095,            0.039661,           0.0081128,           0.0081128,           0.0081128
                  63,            0.033473,            0.013629,            0.038513,             0.53614,               0.675,             0.78104,             0.47318,            0.038261,            0.015114,            0.039304,           0.0080819,           0.0080819,           0.0080819
                  64,            0.037227,            0.014413,            0.038808,              0.7304,             0.45323,             0.72133,             0.35153,            0.043148,            0.015619,            0.039212,           0.0080509,           0.0080509,           0.0080509
